"food","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"hot sausage",0,1,0,0,0,0,0,1,11,3,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,2,3,0,1,0,0,4,0,5,0,0,2,0,0,1,0,0,0,0
"hotcakes",0,3,1,5,1,0,1,0,4,2,0,2,2,1,1,0,1,0,1,1,0,0,0,1,0,0,2,0,1,1,6,0,0,1,0,2,3,0,0,0,1,2,0,0,5,2,1,0,0
"ice cream",270,222,139,2121,153,288,109,94,841,632,34,631,371,135,133,209,380,57,467,516,692,239,212,271,15,57,160,55,580,65,1099,511,20,914,137,150,720,85,279,35,315,1478,118,25,474,308,96,255,7
"ice creammm",0,0,0,4,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,1,0,4,0,0,2,0,0,0,0,2,2,1,0,0,1,0,1,1,0,1,1,0
"ice creams",0,0,0,12,0,1,1,0,0,2,0,0,0,0,0,0,0,1,3,1,2,0,0,0,0,0,1,0,4,0,9,4,0,3,0,1,1,0,0,0,2,12,0,0,3,1,0,2,0
"italian beef",1,1,0,10,1,1,0,0,1,0,0,87,2,1,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,2,3,0,0,0,0,0,3,0
"italian beef sandwich",0,2,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"italian sausage",1,1,0,6,4,2,0,2,4,2,0,10,2,1,0,3,2,0,1,2,3,1,0,2,0,3,0,0,3,0,6,4,0,4,0,2,7,0,0,0,2,6,2,1,1,2,0,1,0
"jack cheese",0,0,0,4,0,1,0,0,1,3,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
"jar of peanut butter",0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,2,1,2,1,2,1,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,2,6,0,0,1,1,0,1,0
"jelly donut",0,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
"jerry''s cherry garcia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"jerry''s ice cream",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"jumbo shrimp",0,0,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
"kale",0,4,1,63,5,5,0,6,12,11,1,12,17,2,6,3,4,3,8,6,6,9,6,5,0,2,5,0,3,2,42,5,3,6,2,7,7,1,5,0,11,24,2,1,8,5,0,5,0
"kale chips",1,1,0,6,1,1,0,0,5,1,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,3,0,0,2,0,1,0,0
"kettle corn",1,6,2,26,3,2,3,2,7,3,0,3,2,1,3,3,1,0,3,4,7,4,0,5,1,0,1,3,4,1,10,4,0,9,4,0,5,1,1,0,3,8,0,0,7,3,0,1,0
"key lime pie",3,3,1,16,3,1,0,2,46,16,1,6,0,0,0,1,1,0,2,1,6,3,0,4,0,1,2,1,7,0,12,5,0,9,1,1,1,0,3,0,6,15,0,1,6,2,0,4,0
"kfc chicken",0,0,0,2,0,0,0,0,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"king cake",1,0,0,1,1,0,0,0,0,2,0,2,1,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0
"king crab",0,1,0,2,1,3,0,0,1,1,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0
"king crab legs",0,0,0,4,0,0,1,0,3,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,2,0,2,1,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0
"kiwi yogurt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
"kiwis",2,0,0,7,0,3,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,2,0,6,2,0,1,0,0,3,0,0,0,1,3,0,0,0,1,0,0,0
"kobe beef",0,0,0,7,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,1,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0
"kobe beef burger",0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0
"korean fried chicken",0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"kung pao chicken",0,1,0,6,2,0,0,1,2,1,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,1,1,0,2,1,0,0,0,0,0,0,6,0,0,4,1,0,1,0
"lamb burger",0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0
"lamb chops",0,1,1,14,0,1,0,3,3,1,1,3,2,0,0,0,1,0,0,2,5,1,1,1,1,0,1,1,1,0,15,1,0,0,0,0,1,0,1,0,1,4,1,0,1,0,0,1,0
"large pizza",0,0,1,6,1,2,0,1,0,3,0,2,1,1,2,0,0,0,0,2,0,2,2,0,0,0,1,0,4,0,2,3,0,2,2,2,1,0,1,0,1,5,0,0,3,4,1,0,0
"large pizzas",0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,1,0,0,1,5,0,0,0
"large pizzas and",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"layer cake",0,0,0,3,1,1,0,0,0,2,0,1,1,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0
"left over pizza",0,1,1,10,0,1,0,0,4,0,0,0,0,0,0,0,4,0,1,0,0,0,1,2,0,0,2,0,1,0,4,1,0,1,0,0,0,1,1,0,0,5,0,0,1,0,1,3,0
"leftover pizza",0,0,1,4,0,2,0,0,1,3,1,3,1,1,1,1,0,0,1,0,2,0,1,1,0,0,0,0,2,1,1,2,0,4,0,0,4,0,1,0,1,4,0,0,1,0,1,1,0
"lemon",13,24,2,205,5,19,8,8,79,30,1,29,25,6,7,19,22,5,31,28,31,9,15,23,0,5,12,1,26,2,82,40,2,46,10,6,42,12,23,0,43,88,0,2,31,14,6,8,0
"lemon bar",0,0,1,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0
"lemon bar w",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"lemon bars",0,0,1,3,1,0,1,0,1,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0
"lemon chicken",0,1,0,6,0,2,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"lemon cookies",0,0,0,6,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"lemon juice",0,1,1,30,1,1,1,3,5,4,0,6,4,1,0,4,1,0,5,4,4,3,1,4,0,1,1,0,6,1,16,6,0,10,2,2,7,0,3,0,2,10,2,0,4,0,4,1,0
"lemon meringue pie",0,0,0,4,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,4,1,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0
"lemon pepper chicken",4,0,3,6,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,0,1,0,2,0,1,0,1,6,0,2,2,0,1,1,0
"lemons",12,9,7,78,4,8,7,7,26,18,3,29,17,10,9,8,14,0,21,26,21,10,10,13,0,5,6,5,19,2,38,17,0,51,4,4,33,3,9,2,12,64,7,1,19,12,16,8,2
"lentil",0,0,0,4,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,10,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
"lentils",0,0,0,6,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,2,0,1,1,0,0,0,2,0,7,0,0,0,0,0,3,0,0,0,0,6,0,0,0,4,0,0,0
"lettuce",8,7,5,84,5,6,2,5,15,23,0,19,17,7,8,6,14,0,17,20,25,10,5,15,1,2,1,3,15,3,49,18,1,31,9,4,27,5,8,0,13,57,5,2,24,9,1,12,0
"lettuce and tomato",1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,2,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"lettuce and tomato",1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,2,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"lettuces",0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"liks ice cream",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lima beans",3,0,0,5,0,0,1,0,3,2,0,0,2,0,0,0,2,0,0,0,0,1,2,0,1,0,0,0,1,0,3,2,1,4,1,0,1,0,4,0,1,4,0,0,4,1,0,0,0
"lime",13,10,3,136,24,9,7,5,94,32,1,33,12,13,3,10,19,4,27,19,24,8,7,8,0,1,8,3,28,4,61,33,1,35,6,11,29,2,19,2,14,85,12,2,22,17,6,13,0
"lime http",0,1,0,4,2,0,3,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"lime juice",0,0,0,5,1,0,0,0,3,1,0,4,2,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,5,0,0,3,0,0,1,0,1,0,1,1,0,0,2,1,0,0,0
"lime pie",0,0,0,3,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
"lime w",0,0,0,8,3,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"limes",0,1,0,9,0,1,1,3,11,4,1,3,5,1,2,5,0,1,3,4,3,6,1,1,0,3,2,1,2,3,10,6,0,5,1,2,3,0,0,0,4,3,0,0,3,1,0,1,0
"little red wagon corn dogs",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"loaded baked potato",1,1,3,1,0,0,0,0,5,0,0,0,1,0,1,1,1,0,2,0,0,1,2,0,0,1,0,0,1,1,4,1,0,1,1,0,0,0,4,0,2,5,0,0,0,1,1,0,0
"loaf of bread",3,3,1,6,1,6,1,1,11,6,0,9,3,1,0,1,4,0,7,3,7,1,2,1,2,0,1,1,6,0,13,7,0,11,0,1,9,1,2,1,1,17,1,1,4,5,2,4,0
"lobster",17,8,6,121,8,24,3,5,73,32,1,36,16,6,6,10,14,43,23,88,24,15,8,14,0,3,23,7,34,0,112,23,2,39,3,8,31,11,12,1,14,59,3,1,18,14,5,7,1
"lobster dinner",0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"lobster http",1,0,0,11,0,0,0,1,2,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"lobster tail",0,1,1,8,2,1,0,0,5,1,0,5,1,0,0,0,0,0,0,2,1,0,2,1,0,0,0,1,2,0,3,6,0,0,0,0,1,0,0,0,3,1,0,0,0,3,1,2,0
"lobster tails",0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,1,0,1,0,5,0,0,1,0,0,2,0,1,0,1,1,0,0,1,2,0,1,0
"lobsters",0,1,0,9,1,1,0,1,11,6,0,3,0,0,0,0,3,7,2,12,3,1,1,1,0,0,0,4,5,0,9,2,1,2,1,0,4,1,2,0,1,4,0,0,2,3,0,1,0
"loves cake",0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"mac n cheese",18,10,13,126,8,21,8,7,56,41,1,41,27,13,15,7,14,1,42,20,49,23,11,16,0,6,11,2,21,4,89,32,7,64,5,9,53,5,19,1,30,59,5,0,27,32,7,22,0
"mac n'' cheese",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mac nd cheese",1,0,1,0,0,0,1,0,2,2,0,0,0,0,0,1,1,0,2,1,0,0,1,1,0,0,0,0,1,0,0,1,0,2,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0
"mac-n-cheese",2,0,0,1,0,1,0,0,3,4,0,1,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,2,0,0,2,1,0,0,1
"macaroni",13,4,8,30,2,10,0,5,32,40,0,28,14,4,8,7,18,0,9,6,24,11,6,13,0,1,3,1,15,3,25,17,0,38,4,3,15,0,23,0,13,55,1,0,15,7,3,15,0
"macaroni and cheese",7,2,2,24,0,5,2,1,12,16,0,12,4,5,2,4,5,2,12,5,8,7,1,6,1,2,3,0,9,1,19,7,1,7,2,4,15,1,3,0,8,13,2,1,6,6,0,5,0
"macncheese",2,0,0,5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,2,0,0,0,0,3,0,0,1,0,0,1,1,4,0,0,2,0,0,0,0
"made cookies",4,3,0,5,2,0,1,0,2,1,0,2,3,0,1,2,1,0,3,2,1,1,0,1,0,0,0,0,3,0,2,1,0,4,0,0,0,0,1,0,1,3,1,0,5,4,2,0,0
"made pancakes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"made pizza",0,1,0,4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0
"magnum ice cream",2,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0
"make some pancakes",1,0,0,2,0,2,0,0,1,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,2,0,3,1,0,0,0,0,0,0,2,0,0,2,0,0,1,0
"makin pancakes",0,0,0,4,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"making a cake",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,2,0,0,0,0,2,0,0,2,1,0,0,0
"making bacon",0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,3,0,0,2,0,0,1,0,1,0,1,4,0,0,0,0,0,0,0
"making chicken nuggets",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"making christmas cookies",0,0,0,2,0,0,1,1,0,1,0,2,1,3,0,0,2,0,0,2,4,0,0,1,0,0,0,0,1,0,2,1,1,4,1,1,0,0,0,1,1,0,0,0,0,1,0,2,0
"making christmas cookies with",0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0
"making cookies",3,2,3,23,2,6,2,0,8,0,0,11,4,4,0,1,5,0,13,4,5,5,0,1,0,2,3,0,7,0,11,3,0,16,1,3,10,1,2,0,3,18,0,0,5,4,4,3,2
"making cupcakes",1,2,0,1,1,1,1,0,2,1,0,1,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,3,1,4,1,0,6,0,0,1,0,2,0,1,4,0,0,1,2,1,2,0
"making noodles",0,0,0,1,0,0,0,1,1,4,0,0,0,0,0,0,3,0,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,6,0,0,1,0,0,0,0
"making pancakes",1,0,0,16,0,4,0,1,10,4,0,3,3,0,1,4,4,0,8,5,5,3,0,5,0,2,0,1,5,0,10,2,0,8,0,0,7,1,3,0,7,4,0,0,3,4,1,2,0
"making spaghetti",0,1,0,1,0,0,0,0,2,2,0,5,1,0,1,1,0,1,3,0,2,1,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0
"mandarin oranges",1,1,1,3,0,1,1,0,0,2,0,1,1,1,1,0,0,0,2,1,1,0,0,1,0,1,1,0,0,0,1,3,0,6,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0
"mango",10,9,6,110,6,9,5,5,77,40,1,25,8,4,4,4,18,1,28,12,34,15,4,13,1,5,10,1,26,0,63,21,1,25,6,4,27,2,13,0,15,71,4,0,23,23,11,6,1
"mango http",0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"mango salsa",0,1,0,4,0,0,0,1,5,1,0,1,1,0,0,0,1,0,1,2,0,0,0,0,0,0,1,1,2,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0
"mango sorbet",0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,1,0,0,0,1,2,0,0,0,0,3,0,0,2,1,0,1,0
"mangoes",0,1,0,9,0,0,0,0,13,1,0,3,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,0,2,0,5,1,0,2,1,0,2,0,0,1,0,4,0,1,0,0,0,0,0
"mangos",3,2,0,24,0,7,3,1,30,5,0,6,4,0,0,0,0,1,9,5,6,2,0,3,0,2,2,1,4,0,11,4,2,3,3,1,8,0,5,0,2,14,0,0,17,3,1,2,0
"maple bacon",0,0,0,21,1,0,0,1,5,3,0,3,2,0,2,0,0,0,3,3,1,1,0,0,0,0,1,1,1,0,11,1,0,1,0,3,2,0,1,1,1,0,0,1,1,1,0,4,0
"maple oatmeal",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"margherita pizza",0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0
"martin''s potato chips",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mash potato",0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"mash potatoes",8,6,5,25,3,4,1,1,18,22,0,13,2,2,2,2,14,0,11,1,11,4,9,7,0,1,3,1,14,4,10,8,0,14,3,2,12,0,6,0,4,29,0,0,7,0,2,2,0
"mashed potato",0,0,0,10,1,2,0,0,5,0,0,2,5,0,1,0,3,0,4,2,1,3,0,1,0,0,3,0,4,1,2,4,0,0,0,3,7,0,2,1,2,6,1,0,2,2,0,0,0
"mashed potatoes",24,14,12,106,13,24,11,7,66,57,3,52,46,9,14,22,32,3,47,31,44,18,22,33,0,7,13,3,26,6,76,48,0,71,13,14,57,6,28,2,39,105,4,4,33,20,10,19,2
"mayonnaise",2,2,0,18,0,4,1,2,20,7,0,4,7,5,1,5,4,0,6,2,4,0,6,4,0,0,1,0,10,0,11,3,0,10,0,2,6,0,6,1,7,23,0,0,5,4,3,1,0
"mc chicken",0,0,0,4,0,0,0,0,2,0,0,1,1,1,1,1,0,0,6,1,1,1,1,1,0,0,0,0,2,0,0,0,1,0,1,0,2,0,1,0,0,2,0,0,1,1,0,0,0
"mcchicken",3,0,0,14,1,1,0,1,10,5,0,14,10,4,2,5,1,1,8,8,4,3,1,7,0,2,2,1,7,1,9,4,1,11,2,2,5,1,3,1,1,5,0,0,2,4,1,4,0
"mcchickens",2,1,1,15,0,0,2,0,6,2,1,6,1,1,3,1,0,0,5,1,2,3,2,7,0,1,0,0,1,0,1,2,0,6,1,2,3,0,3,0,2,5,0,0,3,4,0,3,0
"mcdougal''s chicken fingers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medium pizza",0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"melted cheese",1,0,1,4,0,1,0,0,3,0,0,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,5,1,1,1,0,1,2,0,1,0,0,2,0,0,0,0,0,2,0
"milk and bread",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
"milk and cookies",3,0,3,25,3,5,2,0,10,7,0,5,4,1,1,2,3,1,4,10,4,1,5,2,0,0,4,0,8,1,8,5,0,9,1,0,13,0,4,0,10,22,1,0,4,7,1,1,0
"milk and eggs",0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,2,0,0,0,0
"milk dud",0,0,0,0,0,1,0,0,2,1,0,2,2,0,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,2,1,0,1,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0
"milk duds",2,0,1,1,1,2,1,0,2,0,0,3,4,3,1,1,2,0,0,2,4,0,1,2,0,1,0,0,1,0,1,2,1,1,1,0,1,0,2,0,1,15,0,0,2,2,1,3,0
"milk n cookies",0,0,3,5,0,0,0,0,0,2,0,3,1,0,0,1,1,0,1,0,2,1,1,2,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0
"milks favorite cookie",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
"millet",0,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,7,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"mini cookies",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0
"mission tortilla factory",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mixed nuts",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0
"mixed veggies",0,1,0,1,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,2,0,1,0,0,0,0,4,0,1,1,0,0,0,0
"mmm bacon",0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,1,0
"mmm ice cream",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"mmm pancakes",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0
